"id","cyberball","focus","ostracism_condition","self_other_condition","duration","cyberball_played","consent","nt1_accepted","nt2_valued","nt3_powerfull","nt4_recognized","mood","gender_green","age_green","similar_green","ios_condition","ios_outcome","ios_group_ident","group_ident_like","group_ident_experience","excluded","ignored","received_tosses","sex","occupation","age","comments","seriousness","use_data","use_data_reason","cause_own_1","cause_own_2","cause_own_3","cause_own_4","cause_own_5","cause_own_6","cause_own_7","cause_own_8","cause_own_9","cause_own_10","av_locus1_own_situation_1","av_locus1_own_situation_2","av_locus1_own_situation_3","av_locus1_own_situation_4","av_locus1_own_situation_5","av_locus1_own_situation_6","av_locus1_own_situation_7","av_locus1_own_situation_8","av_locus1_own_situation_9","av_locus1_own_situation_10","av_locus2_own_internal_1","av_locus2_own_internal_2","av_locus2_own_internal_3","av_locus2_own_internal_4","av_locus2_own_internal_5","av_locus2_own_internal_6","av_locus2_own_internal_7","av_locus2_own_internal_8","av_locus2_own_internal_9","av_locus2_own_internal_10","av_stability1_own_stabil_1","av_stability1_own_stabil_2","av_stability1_own_stabil_3","av_stability1_own_stabil_4","av_stability1_own_stabil_5","av_stability1_own_stabil_6","av_stability1_own_stabil_7","av_stability1_own_stabil_8","av_stability1_own_stabil_9","av_stability1_own_stabil_10","av_stability2_own_time_1","av_stability2_own_time_2","av_stability2_own_time_3","av_stability2_own_time_4","av_stability2_own_time_5","av_stability2_own_time_6","av_stability2_own_time_7","av_stability2_own_time_8","av_stability2_own_time_9","av_stability2_own_time_10","cause_other_1","cause_other_2","cause_other_3","cause_other_4","cause_other_5","cause_other_6","cause_other_7","cause_other_8","cause_other_9","cause_other_10","av_locus1_other_situation_1","av_locus1_other_situation_2","av_locus1_other_situation_3","av_locus1_other_situation_4","av_locus1_other_situation_5","av_locus1_other_situation_6","av_locus1_other_situation_7","av_locus1_other_situation_8","av_locus1_other_situation_9","av_locus1_other_situation_10","av_locus2_other_internal_1","av_locus2_other_internal_2","av_locus2_other_internal_3","av_locus2_other_internal_4","av_locus2_other_internal_5","av_locus2_other_internal_6","av_locus2_other_internal_7","av_locus2_other_internal_8","av_locus2_other_internal_9","av_locus2_other_internal_10","av_stability1_other_stabil_1","av_stability1_other_stabil_2","av_stability1_other_stabil_3","av_stability1_other_stabil_4","av_stability1_other_stabil_5","av_stability1_other_stabil_6","av_stability1_other_stabil_7","av_stability1_other_stabil_8","av_stability1_other_stabil_9","av_stability1_other_stabil_10","av_stability2_other_time_1","av_stability2_other_time_2","av_stability2_other_time_3","av_stability2_other_time_4","av_stability2_other_time_5","av_stability2_other_time_6","av_stability2_other_time_7","av_stability2_other_time_8","av_stability2_other_time_9","av_stability2_other_time_10"
1,2,2,"excluded","green",984,2,1,1,5,3,1,3,1,1,5,"group_green_other",4,2,2,2,9,9,3,1,"Unemployed",21,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"The friend is aggressive in personality.","They have procrastinated too much.","The member is awkward.","The green member has a completely different personality and interests.","The friend does not deserve help from the member.","The member pushes doubts aside when it comes to bigger desires.","They have friends who reflect their kind-heartedness.","Pity is placed on the member.","The member has incorporated skills that are well practiced into said project.","The green member has become more social.",5,1,1,1,5,1,1,1,3,1,5,1,1,1,5,1,1,5,1,1,2,2,1,1,2,4,2,3,2,5,2,3,2,1,2,3,2,2,1,4
2,1,1,"included","yellow",1659,2,1,5,5,5,5,9,1,2,4,"group_yellow_own",5,7,6,4,1,1,25,1,"Blue collar",35,"-99",6,2,"-99","There is probably and underlying problem that has been there for years. Maybe the person actly hostile is a cry for help and they do not know how to vocalize it. They have to much pride and is afraid of how they are going to  look  if they ask for help.","I believe the outcome will be the same, because it is virtual. If it was a real life scenario, then that would be a different matter. It all depends on the background that each and everyone of us come from.","Maybe the member has the fear of public speaking and was not well prepared for this talk. If their message is not concise, and they bored them to death, then that will be the outcome.","This could happen because of the may biases that we all have. Maybe it's the way the person looks, or how they talk, or the color of their skin. This is also based on the fact that the person could be having a bad day. There are many unknowns in human interactions and it is impossible to be able to pin them down indefinitely.","The main cause can be two fold; the person that comes with the problem to the group placed themselves in that situation or some unknown factor. This also depends on how close the friend is to the people of the group. If it is a random stranger-no one cares- but if it is someone that they have built a relationship with, then might try to help. If the friend can solve their own problems, then they are not equipped to be a true friend at all.","It was well deserved and it is was they rightfully deserve.","Compliments are good and even better when they are sincere. There are also instances when the person that is doing the complimenting wants something out of that individual, but it is hard to gauge if this is the case. Mind games are played all the time at many different levels.","What did the person do to get the raise? If they put in the work and the hours then it is well deserved. The raise was the outcome of them doing something right.","That is because of work on their part. They deserve the praise.","This could be because of an unknown connection that they might have with the other individuals. There are many factors that come into this and the fact that the way someone reaction time says a little about the person.",4,3,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,4,2,3,5,4,2,4,4,4,3,4,4,5,4,2,3,4,3,4,3,4,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
3,2,2,"excluded","green",580,2,1,2,2,2,2,2,1,2,7,"group_green_other",5,5,3,3,8,8,10,1,"Doctor",32,"-99",6,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"They don't like green","They didn't work hard enough","Their talk wasn't good or was controversial","They were rude.","They don't like green","They did well at interview","Green looks nice","They worked hard","They worked hard","They have been kind",2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,2,4,2,2,4,4,4,5,2,2,2,2,2,4,4,2,2,4
4,1,1,"included","yellow",842,2,1,5,7,5,7,5,1,2,5,"group_yellow_own",1,3,7,9,3,4,37,2,"Student",26,"No",7,2,"-99","Member of group Yellow made a mistake","Member of group Yellow is stressed and has taken on too much work","The member of group Yellow struggled to articulate their points in the right manner, so there was misunderstanding and so the talk was not well received","The person that the member of group Yellow met with was not who they claimed to be and was a negative and abusive person towards member of group Yellow","Member of group Yellow does not wish to get involved in this drama as it will end up with the friend not listening and blaming them for their input","Member of group Yellow did their research and so performed well in the interview","Member of group Yellow tried something new with their hair","Member of group Yellow worked hard consistently over the years and is finally getting recognition deserved","Member of group Yellow worked hard on this project and their intellect and hard work has been recognized","Partner has finally recognized the care and consideration that member of group Yellow puts into every task and is showing appreciation",2,1,2,5,4,2,2,2,1,3,3,3,3,4,4,4,3,3,3,4,4,4,5,5,4,3,4,2,4,5,4,3,4,4,4,2,4,2,4,4,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
5,2,1,"excluded","yellow",790,2,1,2,4,2,4,5,1,2,6,"group_yellow_own",4,5,7,7,8,8,10,1,"Engineer",29,"-99",7,2,"-99","The friend is jealous of Yellow's success","Had unrealistic expectations put on them","Yellow misunderstood their audience, and pitched their talk the wrong way","Yellow was treated unfairly and pre-judged","Yellow is very busy and has important priorities to do","Yellow had the best skills of anyone that applied","Yellow has put a lot of effort into looking nice and grooming themself","Taking on new responsibilities at work","Excellent work on project","Yellow and their partner are maturing, and they are being appreciated for their good qualities.",2,2,4,2,4,4,4,4,4,5,3,3,4,2,4,3,5,3,3,4,4,4,4,2,5,3,1,2,2,2,4,5,4,2,5,3,1,2,2,2,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
6,2,1,"excluded","yellow",1841,2,1,1,2,2,1,1,1,4,7,"group_yellow_own",1,1,9,9,3,2,1,2,"Unemployed",39,"-99",7,2,"-99","Possibly he was not in same group as his friends, and his friend feel defeated.","A member of group yellow not completing the work they are supposed to do means, he was depressed at some point.","The main cause of the outcome is because the audience feels a member of the group yellow is a failure.","The main cause of the outcome is because, a member of the group yellow already feels dejected.","Not trying to help could be as a result of rejection a member of the group yellow had.","The main cause of this outcome is that a member of the group is building his self confident.","It will boast the moral of the member of the group yellow.","Getting a raise will serve as a motivation to any member of the group yellow.","The main cause of this outcome is that, a member of the group yellow is trying to impress everyone and change their opinion.","If a member of group yellow was treated lovingly by their partner, it means he was lucky.",5,5,5,1,5,2,4,5,3,3,5,4,5,1,2,1,4,4,3,4,4,2,2,3,3,3,3,4,3,3,2,2,1,3,3,3,3,4,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
7,1,2,"included","green",679,2,1,8,8,8,9,8,2,2,5,"group_green_other",3,7,5,5,2,1,60,2,"full-time student",18,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"they may have wronged the friend","they may have already taken on too much work","the individual wasn't a good speaker","they may not have much in common with the other individual","they do not feel like taking on the problem","they had the drive and determination to do what it takes to get the job","they are attractive","they worked hard","the project was done to a high quality","They are a nicer individual",3,4,5,5,2,1,5,5,1,5,4,4,5,5,4,4,5,5,5,5,4,5,5,5,4,3,3,2,2,5,3,4,4,4,4,3,2,4,3,3
8,2,1,"excluded","yellow",960,2,1,3,3,3,2,4,1,1,7,"group_yellow_own",2,3,7,7,9,9,10,2,"Student",21,"I will a little confused about the meaning of the stable/variable permanent/temporary options in some of the scenarios. ",7,2,"-99","Perhaps they have had a falling out/disagreement or they simply don't like each other. ","They are overloaded with work and have too much to do in a given time frame. Prehaps Yellow is not good at saying no which is why they have so much work to do","The audience do not agree with the topic of the talk or the member is giving a talk about a controversial topic. ","Perhaps they had a disagreement/something bad happens whilst meeting","Perhaps Yellow was also having a bad day or they felt that their prior experiences/skill set was not useful in this situation","They tried hard in the application process and was the correct candidate for the position.","Yellow looks good and the other person wants to be a nice person and compliment them to make Yellow feel good. ","They have been working hard and their hard work has been recognized and praised with a raise","They worked hard on the project and the project was clever/useful to the company and the hard work has been recognised and praised. ","They are in a loving and happy relationship",4,2,2,3,1,1,5,1,1,4,4,2,4,3,2,3,3,2,2,3,5,4,2,5,4,1,1,1,1,2,5,5,3,5,4,1,1,1,1,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
9,1,1,"included","yellow",913,2,1,9,9,5,9,5,1,2,9,"group_yellow_own",3,4,7,6,1,1,30,1,"Student",21,"-99",7,2,"-99","The member was previously hostile, and the friend is reacting","Lazy","The talk was about a topic that the audience was not interested in, or perhaps actively was against/disliked.","The other individual did not vibe well","They don't know how they can help effectively","Everyone else that applied did worse, or was less suited to the position.","They looked good","They performed well in their role","The project was well executed","They have a partner in the first place",3,1,5,5,3,3,1,1,1,5,3,1,5,5,1,3,1,1,1,3,5,3,5,4,5,2,4,5,3,3,5,3,5,4,5,2,4,4,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
10,1,2,"included","green",544,2,1,4,4,3,5,4,2,1,7,"group_green_other",2,2,5,5,3,3,25,2,"student",21,"no",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"green did something to annoy them ","green got given too much work ","green gave a controversial point of view","green did something to annoy them","green is busy","green prepared well for the job application process and interview","green looks good ","green worked hard","green worked hard ","the partner loves green ",1,5,5,1,1,1,3,1,1,5,3,5,5,3,1,1,3,1,1,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,1,5,1
