"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"c_0002";"cyberball_played";"consent";"worker_id";"nt1_accepted";"nt2_valued";"nt3_powerfull";"nt4_recognized";"mood";"gender_green";"age_green";"similar_green";"ios_yellow";"ios_green";"ios_group_ident";"group_ident_like";"group_ident_experience";"excluded";"ignored";"received_tosses";"sex";"occupation";"age";"native";"no_native";"comments";"seriousness";"use_data";"use_data_reason";"cause_own_1";"cause_own_2";"cause_own_3";"cause_own_4";"cause_own_5";"cause_own_6";"cause_own_7";"cause_own_8";"cause_own_9";"cause_own_10";"av_locus1_own_situation_1";"av_locus1_own_situation_2";"av_locus1_own_situation_3";"av_locus1_own_situation_4";"av_locus1_own_situation_5";"av_locus1_own_situation_6";"av_locus1_own_situation_7";"av_locus1_own_situation_8";"av_locus1_own_situation_9";"av_locus1_own_situation_10";"av_locus2_own_internal_1";"av_locus2_own_internal_2";"av_locus2_own_internal_3";"av_locus2_own_internal_4";"av_locus2_own_internal_5";"av_locus2_own_internal_6";"av_locus2_own_internal_7";"av_locus2_own_internal_8";"av_locus2_own_internal_9";"av_locus2_own_internal_10";"av_stability1_own_stabil_1";"av_stability1_own_stabil_2";"av_stability1_own_stabil_3";"av_stability1_own_stabil_4";"av_stability1_own_stabil_5";"av_stability1_own_stabil_6";"av_stability1_own_stabil_7";"av_stability1_own_stabil_8";"av_stability1_own_stabil_9";"av_stability1_own_stabil_10";"av_stability2_own_time_1";"av_stability2_own_time_2";"av_stability2_own_time_3";"av_stability2_own_time_4";"av_stability2_own_time_5";"av_stability2_own_time_6";"av_stability2_own_time_7";"av_stability2_own_time_8";"av_stability2_own_time_9";"av_stability2_own_time_10";"cause_other_1";"cause_other_2";"cause_other_3";"cause_other_4";"cause_other_5";"cause_other_6";"cause_other_7";"cause_other_8";"cause_other_9";"cause_other_10";"av_locus1_other_situation_1";"av_locus1_other_situation_2";"av_locus1_other_situation_3";"av_locus1_other_situation_4";"av_locus1_other_situation_5";"av_locus1_other_situation_6";"av_locus1_other_situation_7";"av_locus1_other_situation_8";"av_locus1_other_situation_9";"av_locus1_other_situation_10";"av_locus2_other_internal_1";"av_locus2_other_internal_2";"av_locus2_other_internal_3";"av_locus2_other_internal_4";"av_locus2_other_internal_5";"av_locus2_other_internal_6";"av_locus2_other_internal_7";"av_locus2_other_internal_8";"av_locus2_other_internal_9";"av_locus2_other_internal_10";"av_stability1_other_stabil_1";"av_stability1_other_stabil_2";"av_stability1_other_stabil_3";"av_stability1_other_stabil_4";"av_stability1_other_stabil_5";"av_stability1_other_stabil_6";"av_stability1_other_stabil_7";"av_stability1_other_stabil_8";"av_stability1_other_stabil_9";"av_stability1_other_stabil_10";"av_stability2_other_time_1";"av_stability2_other_time_2";"av_stability2_other_time_3";"av_stability2_other_time_4";"av_stability2_other_time_5";"av_stability2_other_time_6";"av_stability2_other_time_7";"av_stability2_other_time_8";"av_stability2_other_time_9";"av_stability2_other_time_10";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6464880";"rts6464882";"rts6464883";"rts6464885";"rts6464888";"rts6465857";"rts6465888";"rts6465924";"rts6466281";"rts6466848";"rts6467037";"rts6467043";"rts6467078";"rts6473402";"rts6473507";"rts6473523";"rts6521622";"rts6521623";"rts6521677";"rts6521689";"rts6521690";"rts6529429";"rts6530938";"rts6535930";"tic"
"23";"0";"0";"31";"6464887";"-77";"34";"-66";"-66";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-66";"-66";"-77";"-66";"-66";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464887";"0";"0";"0";"-77";"-77";"40c780cd3c9c65e9e676f0e04a71d9d4";"1";"0";"1590415726";"2020-05-25 14:08:46";"2020-05-25 14:09:20";"0000-00-00 00:00:00";"0";"0";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-66"
"24";"0";"0";"31";"6464875";"-77";"984";"2";"2";"2";"1";"5d9c35e740e5c70017ee9a77";"1";"5";"3";"1";"3";"1";"1";"5";"-77";"4";"2";"2";"2";"9";"9";"3";"1";"Unemployed";"21";"1";"-99";"-99";"7";"2";"-99";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"The friend is aggressive in personality.";"They have procrastinated too much.";"The member is awkward.";"The green member has a completely different personality and interests.";"The friend does not deserve help from the member.";"The member pushes doubts aside when it comes to bigger desires.";"They have friends who reflect their kind-heartedness.";"Pity is placed on the member.";"The member has incorporated skills that are well practiced into said project.";"The green member has become more social.";"5";"1";"1";"1";"5";"1";"1";"1";"3";"1";"5";"1";"1";"1";"5";"1";"1";"5";"1";"1";"2";"2";"1";"1";"2";"4";"2";"3";"2";"5";"2";"3";"2";"1";"2";"3";"2";"2";"1";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6467023,6529429,6467037,6470606,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6521622,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"0";"1";"0";"-77";"-77";"82758de5011377ddd69bfcc7cef20edf";"1";"0";"1590415883";"2020-05-25 14:11:23";"2020-05-25 14:27:47";"0000-00-00 00:00:00";"72";"59";"39";"7";"15";"30";"188";"215";"930";"0";"267";"820";"960";"27";"882";"0";"849";"868";"916";"966";"984";"223";"0";"0";"c00473af193e77b1faa882b3dc1211bd"
"25";"0";"0";"31";"6464875";"-77";"1659";"1";"1";"2";"1";"5ec9429ae01d550747356543";"5";"5";"5";"5";"9";"1";"2";"4";"5";"-77";"7";"6";"4";"1";"1";"25";"1";"Blue collar";"35";"1";"-99";"-99";"6";"2";"-99";"There is probably and underlying problem that has been there for years. Maybe the person actly hostile is a cry for help and they do not know how to vocalize it. They have to much pride and is afraid of how they are going to  look  if they ask for help.";"I believe the outcome will be the same, because it is virtual. If it was a real life scenario, then that would be a different matter. It all depends on the background that each and everyone of us come from.";"Maybe the member has the fear of public speaking and was not well prepared for this talk. If their message is not concise, and they bored them to death, then that will be the outcome.";"This could happen because of the may biases that we all have. Maybe it's the way the person looks, or how they talk, or the color of their skin. This is also based on the fact that the person could be having a bad day. There are many unknowns in human interactions and it is impossible to be able to pin them down indefinitely.";"The main cause can be two fold; the person that comes with the problem to the group placed themselves in that situation or some unknown factor. This also depends on how close the friend is to the people of the group. If it is a random stranger-no one cares- but if it is someone that they have built a relationship with, then might try to help. If the friend can solve their own problems, then they are not equipped to be a true friend at all.";"It was well deserved and it is was they rightfully deserve.";"Compliments are good and even better when they are sincere. There are also instances when the person that is doing the complimenting wants something out of that individual, but it is hard to gauge if this is the case. Mind games are played all the time at many different levels.";"What did the person do to get the raise? If they put in the work and the hours then it is well deserved. The raise was the outcome of them doing something right.";"That is because of work on their part. They deserve the praise.";"This could be because of an unknown connection that they might have with the other individuals. There are many factors that come into this and the fact that the way someone reaction time says a little about the person.";"4";"3";"4";"4";"4";"4";"3";"4";"3";"4";"4";"3";"4";"4";"4";"4";"3";"4";"3";"4";"2";"3";"5";"4";"2";"4";"4";"4";"3";"4";"4";"5";"4";"2";"3";"4";"3";"4";"3";"4";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479078,6479079,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"1";"1";"0";"-77";"-77";"b751570b41f7a758e8df886e5fbd9069";"1";"0";"1590415883";"2020-05-25 14:11:23";"2020-05-25 14:39:02";"0000-00-00 00:00:00";"99";"83";"56";"18";"33";"46";"209";"238";"1635";"1536";"0";"0";"1637";"41";"1582";"259";"0";"1566";"1615";"1640";"1659";"0";"246";"1556";"d768a8f013988a1c9ff4d4532b6e6272"
"26";"0";"0";"31";"6464875";"-77";"580";"2";"2";"2";"1";"5d3a0bd20ebaf3001961ef18";"2";"2";"2";"2";"2";"1";"2";"7";"-77";"5";"5";"3";"3";"8";"8";"10";"1";"Doctor";"32";"1";"-99";"-99";"6";"2";"-99";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"They don't like green";"They didn't work hard enough";"Their talk wasn't good or was controversial";"They were rude.";"They don't like green";"They did well at interview";"Green looks nice";"They worked hard";"They worked hard";"They have been kind";"2";"2";"2";"2";"2";"4";"4";"4";"4";"4";"2";"2";"2";"2";"2";"4";"4";"4";"4";"4";"4";"2";"2";"4";"2";"2";"4";"4";"4";"5";"2";"2";"2";"2";"2";"4";"4";"2";"2";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6467023,6529429,6467037,6470606,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6521622,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"1";"1";"0";"-77";"-77";"d2a64729f25df1ee407525d249c6e133";"1";"0";"1590415906";"2020-05-25 14:11:46";"2020-05-25 14:21:26";"0000-00-00 00:00:00";"105";"94";"70";"24";"36";"52";"206";"227";"553";"0";"245";"483";"564";"42";"517";"0";"495";"509";"539";"566";"580";"231";"0";"0";"437e89b2ee67e3b1101e7fefc430be33"
"27";"0";"0";"31";"6464875";"-77";"842";"1";"1";"2";"1";"55ef58d4b9401300137f42a1";"5";"7";"5";"7";"5";"1";"2";"5";"1";"-77";"3";"7";"9";"3";"4";"37";"2";"Student";"26";"1";"-99";"No";"7";"2";"-99";"Member of group Yellow made a mistake";"Member of group Yellow is stressed and has taken on too much work";"The member of group Yellow struggled to articulate their points in the right manner, so there was misunderstanding and so the talk was not well received";"The person that the member of group Yellow met with was not who they claimed to be and was a negative and abusive person towards member of group Yellow";"Member of group Yellow does not wish to get involved in this drama as it will end up with the friend not listening and blaming them for their input";"Member of group Yellow did their research and so performed well in the interview";"Member of group Yellow tried something new with their hair";"Member of group Yellow worked hard consistently over the years and is finally getting recognition deserved";"Member of group Yellow worked hard on this project and their intellect and hard work has been recognized";"Partner has finally recognized the care and consideration that member of group Yellow puts into every task and is showing appreciation";"2";"1";"2";"5";"4";"2";"2";"2";"1";"3";"3";"3";"3";"4";"4";"4";"3";"3";"3";"4";"4";"4";"5";"5";"4";"3";"4";"2";"4";"5";"4";"3";"4";"4";"4";"2";"4";"2";"4";"4";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 Edg/83.0.478.37";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479078,6479079,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"0";"1";"0";"-77";"-77";"4fb1af0f2bbf4d0d03199dda032f87c3";"1";"0";"1590415955";"2020-05-25 14:12:35";"2020-05-25 14:26:37";"0000-00-00 00:00:00";"90";"77";"50";"9";"23";"35";"215";"233";"812";"740";"0";"0";"825";"26";"773";"253";"0";"765";"799";"831";"842";"0";"242";"751";"18c26c8dd1f4101450fc6a7ff15e1e31"
"28";"0";"0";"31";"6464875";"-77";"790";"2";"1";"2";"1";"5eca244cce3f4156305b8b02";"2";"4";"2";"4";"5";"1";"2";"6";"4";"-77";"5";"7";"7";"8";"8";"10";"1";"Engineer";"29";"1";"-99";"-99";"7";"2";"-99";"The friend is jealous of Yellow's success";"Had unrealistic expectations put on them";"Yellow misunderstood their audience, and pitched their talk the wrong way";"Yellow was treated unfairly and pre-judged";"Yellow is very busy and has important priorities to do";"Yellow had the best skills of anyone that applied";"Yellow has put a lot of effort into looking nice and grooming themself";"Taking on new responsibilities at work";"Excellent work on project";"Yellow and their partner are maturing, and they are being appreciated for their good qualities.";"2";"2";"4";"2";"4";"4";"4";"4";"4";"5";"3";"3";"4";"2";"4";"3";"5";"3";"3";"4";"4";"4";"4";"2";"5";"3";"1";"2";"2";"2";"4";"5";"4";"2";"5";"3";"1";"2";"2";"2";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"1";"1";"0";"-77";"-77";"9aa013f0533d5bfe74ebeb6411da2d19";"1";"0";"1590415961";"2020-05-25 14:12:41";"2020-05-25 14:25:51";"0000-00-00 00:00:00";"132";"116";"66";"21";"35";"49";"242";"262";"752";"693";"0";"0";"773";"40";"726";"297";"0";"720";"740";"775";"790";"0";"273";"708";"82b082e4448347cb789d576fef981f92"
"29";"0";"0";"31";"6464875";"-77";"1841";"2";"1";"2";"1";"5ec6d53131e9e60fdfd25215";"1";"2";"2";"1";"1";"1";"4";"7";"1";"-77";"1";"9";"9";"3";"2";"1";"2";"Unemployed";"39";"1";"-99";"-99";"7";"2";"-99";"Possibly he was not in same group as his friends, and his friend feel defeated.";"A member of group yellow not completing the work they are supposed to do means, he was depressed at some point.";"The main cause of the outcome is because the audience feels a member of the group yellow is a failure.";"The main cause of the outcome is because, a member of the group yellow already feels dejected.";"Not trying to help could be as a result of rejection a member of the group yellow had.";"The main cause of this outcome is that a member of the group is building his self confident.";"It will boast the moral of the member of the group yellow.";"Getting a raise will serve as a motivation to any member of the group yellow.";"The main cause of this outcome is that, a member of the group yellow is trying to impress everyone and change their opinion.";"If a member of group yellow was treated lovingly by their partner, it means he was lucky.";"5";"5";"5";"1";"5";"2";"4";"5";"3";"3";"5";"4";"5";"1";"2";"1";"4";"4";"3";"4";"4";"2";"2";"3";"3";"3";"3";"4";"3";"3";"2";"2";"1";"3";"3";"3";"3";"4";"3";"3";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"1";"0";"0";"-77";"-77";"51b18afc01842e478e1e8aa03ae3f6f0";"1";"0";"1590415967";"2020-05-25 14:12:47";"2020-05-25 14:43:28";"0000-00-00 00:00:00";"230";"219";"145";"27";"62";"97";"389";"449";"1731";"1512";"0";"0";"1806";"76";"1646";"517";"0";"1633";"1698";"1811";"1841";"0";"467";"1603";"4b6524302e03bd9550678493276a2cb4"
"30";"0";"0";"31";"6464875";"-77";"679";"1";"2";"2";"1";"5e77d6fa5312ee3557f99be1";"8";"8";"8";"9";"8";"2";"2";"5";"-77";"3";"7";"5";"5";"2";"1";"60";"2";"full-time student";"18";"1";"-99";"-99";"7";"2";"-99";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"they may have wronged the friend";"they may have already taken on too much work";"the individual wasn't a good speaker";"they may not have much in common with the other individual";"they do not feel like taking on the problem";"they had the drive and determination to do what it takes to get the job";"they are attractive";"they worked hard";"the project was done to a high quality";"They are a nicer individual";"3";"4";"5";"5";"2";"1";"5";"5";"1";"5";"4";"4";"5";"5";"4";"4";"5";"5";"5";"5";"4";"5";"5";"5";"4";"3";"3";"2";"2";"5";"3";"4";"4";"4";"4";"3";"2";"4";"3";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479078,6479079,6465888,6465924,6473522,6467023,6529429,6467037,6470606,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6521622,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"0";"0";"0";"-77";"-77";"5105451281aaa6e553ca19a54901e0be";"1";"0";"1590415976";"2020-05-25 14:12:56";"2020-05-25 14:24:15";"0000-00-00 00:00:00";"107";"93";"54";"22";"32";"41";"209";"227";"646";"0";"247";"568";"667";"37";"615";"0";"599";"608";"633";"670";"679";"232";"0";"0";"7cd781aaf8623f374f14499c38279ed2"
"31";"0";"0";"31";"6464875";"-77";"960";"2";"1";"2";"1";"5ec950b8439b6a07c26d3b85";"3";"3";"3";"2";"4";"1";"1";"7";"2";"-77";"3";"7";"7";"9";"9";"10";"2";"Student";"21";"1";"-99";"I will a little confused about the meaning of the stable/variable permanent/temporary options in some of the scenarios. ";"7";"2";"-99";"Perhaps they have had a falling out/disagreement or they simply don't like each other. ";"They are overloaded with work and have too much to do in a given time frame. Prehaps Yellow is not good at saying no which is why they have so much work to do";"The audience do not agree with the topic of the talk or the member is giving a talk about a controversial topic. ";"Perhaps they had a disagreement/something bad happens whilst meeting";"Perhaps Yellow was also having a bad day or they felt that their prior experiences/skill set was not useful in this situation";"They tried hard in the application process and was the correct candidate for the position.";"Yellow looks good and the other person wants to be a nice person and compliment them to make Yellow feel good. ";"They have been working hard and their hard work has been recognized and praised with a raise";"They worked hard on the project and the project was clever/useful to the company and the hard work has been recognised and praised. ";"They are in a loving and happy relationship";"4";"2";"2";"3";"1";"1";"5";"1";"1";"4";"4";"2";"4";"3";"2";"3";"3";"2";"2";"3";"5";"4";"2";"5";"4";"1";"1";"1";"1";"2";"5";"5";"3";"5";"4";"1";"1";"1";"1";"3";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"1";"1";"0";"-77";"-77";"c850886b19cdf8248288fa4636942f75";"1";"0";"1590415980";"2020-05-25 14:13:00";"2020-05-25 14:29:00";"0000-00-00 00:00:00";"91";"77";"52";"15";"26";"42";"201";"228";"879";"800";"0";"0";"901";"33";"849";"259";"0";"837";"867";"945";"960";"0";"235";"824";"3f7fb12beb9d7042a8b89b2c72f09351"
"32";"0";"0";"22";"6479080";"-77";"741";"2";"1";"2";"1";"5ec9557971f97403b71a3145";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-66";"-66";"-77";"-66";"-66";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6464880,6464880,6479077,6479079,6464880,6464880,6479077,6479079,6479080";"0";"0";"0";"-77";"-77";"ee5f35ac161d54b17b7cc7c38d4da713";"1";"0";"1590416009";"2020-05-25 14:13:29";"2020-05-25 14:26:08";"0000-00-00 00:00:00";"759";"112";"69";"22";"34";"46";"0";"0";"0";"0";"0";"0";"0";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0757861826362b9d54475520d8802b54"
