"id","ostracism_condition","self_other_condition","focus_condition","focus_value","outcome","cause_self","cause_other","stability_value","locus_value","stability","locus"
1,"excluded","other","group_green_other",4,"1",NA,"The friend is aggressive in personality.",NA,NA,NA,NA
1,"excluded","other","group_yellow_own",NA,"1",NA,"The friend is aggressive in personality.",2,5,"stability_other1","locus_other1"
1,"excluded","other","group_yellow_own",NA,"1",NA,"The friend is aggressive in personality.",3.5,1,"stability_other6","locus_other6"
1,"excluded","other","group_green_other",4,"2",NA,"They have procrastinated too much.",2,5,"stability_other1","locus_other1"
1,"excluded","other","group_green_other",4,"2",NA,"They have procrastinated too much.",3.5,1,"stability_other6","locus_other6"
1,"excluded","other","group_yellow_own",NA,"2",NA,"They have procrastinated too much.",NA,NA,NA,NA
1,"excluded","other","group_green_other",4,"3",NA,"The member is awkward.",NA,NA,NA,NA
1,"excluded","other","group_yellow_own",NA,"3",NA,"The member is awkward.",2,1,"stability_other7","locus_other7"
1,"excluded","other","group_yellow_own",NA,"3",NA,"The member is awkward.",2.5,1,"stability_other2","locus_other2"
1,"excluded","other","group_green_other",4,"4",NA,"The green member has a completely different personality and interests.",2,1,"stability_other7","locus_other7"
1,"excluded","other","group_green_other",4,"4",NA,"The green member has a completely different personality and interests.",2.5,1,"stability_other2","locus_other2"
1,"excluded","other","group_yellow_own",NA,"4",NA,"The green member has a completely different personality and interests.",NA,NA,NA,NA
1,"excluded","other","group_green_other",4,"5",NA,"The friend does not deserve help from the member.",NA,NA,NA,NA
1,"excluded","other","group_yellow_own",NA,"5",NA,"The friend does not deserve help from the member.",2.5,3,"stability_other8","locus_other8"
1,"excluded","other","group_yellow_own",NA,"5",NA,"The friend does not deserve help from the member.",1.5,1,"stability_other3","locus_other3"
1,"excluded","other","group_green_other",4,"6",NA,"The member pushes doubts aside when it comes to bigger desires.",2.5,3,"stability_other8","locus_other8"
1,"excluded","other","group_green_other",4,"6",NA,"The member pushes doubts aside when it comes to bigger desires.",1.5,1,"stability_other3","locus_other3"
1,"excluded","other","group_yellow_own",NA,"6",NA,"The member pushes doubts aside when it comes to bigger desires.",NA,NA,NA,NA
1,"excluded","other","group_green_other",4,"7",NA,"They have friends who reflect their kind-heartedness.",NA,NA,NA,NA
